segmento,ead_baseline,EL_baseline,ingreso_base,costo_base,utilidad_base,e_opt,el_opt,ingreso_opt,cost_opt,utilidad_opt
AFFLUENT,3554624980.025771,1065398417.0207912,756391127.2495404,53319374.70038657,-362326664.47163725,31303388.0,311585.0193287742,18782032.8,53319374.70038657,-34848926.919715345
MASS,8915541340.653679,285727988.69205195,2198550862.658343,133733120.10980518,1779089753.8564858,24497326852.1,169711065.02487132,14698396111.3,133733120.10980518,14394951926.165323
MASS_AFFLUENT,7575879278.402293,1498205770.4621084,1752274139.4532125,113638189.17603439,140430179.81506974,463853509.0,4722446.702311994,278312105.4,113638189.17603439,159951469.52165362
PYME,3777676301.968255,1129913295.4561372,900681213.9561403,56665144.52952382,-285897226.02952087,22424247.0,246024.26859600918,13454548.2,56665144.52952382,-43456620.59811983
