escenario,status,objetivo,EAD_total,PD_pond,utilidad_total,cap_total_ead,pd_target,r_max,conc_cap_pct,min_ead_activation,use_bins,mode
BASE_PD12_R45,Optimal,2186297592.7318363,6672585089.2,0.12000000000066778,2186297592.731837,,0.12,0.45,,0.0,False,sample
PD10_capEAD,Optimal,2092977184.973205,6259291967.0,0.0999999999994721,2092977184.9732094,21441349710.944996,0.1,0.45,,0.0,False,sample
PD12_r40,Optimal,1902716039.6945946,6672447280.9,0.11999999999901419,1902716039.6945977,,0.12,0.4,,0.0,False,sample
PD12_conc20,Optimal,381684662.48648036,1164866131.26,0.12000000001217621,381684662.48648155,,0.12,0.45,0.2,0.0,False,sample
PD12_bin_min,Optimal,2186297574.116835,6672585089.2,0.12000000000066778,2186297574.116837,,0.12,0.45,,500.0,False,sample
PD12_bins,Optimal,2186297576.5818343,6672585089.2,0.12000000000066778,2186297576.5818367,,0.12,0.45,,0.0,True,sample
